iter	Passed	Remaining
0	1	1932
1	2	1115
2	2	853
3	2	709
4	3	618
5	3	559
6	3	516
7	3	483
8	4	460
9	4	440
10	4	423
11	4	409
12	5	407
13	5	397
14	5	386
15	6	378
16	6	373
17	6	366
18	6	360
19	7	354
20	7	351
21	7	345
22	8	341
23	8	336
24	8	332
25	8	328
26	9	324
27	9	321
28	9	317
29	9	315
30	10	312
31	10	310
32	10	307
33	10	305
34	10	303
35	11	301
36	11	299
37	11	297
38	12	295
39	12	293
40	12	291
41	12	289
42	12	288
43	13	286
44	13	285
45	13	284
46	13	282
47	14	281
48	14	279
49	14	278
50	14	278
51	15	277
52	15	277
53	15	276
54	16	275
55	16	274
56	16	273
57	16	272
58	17	271
59	17	270
60	17	269
61	17	268
62	17	267
63	18	266
64	18	266
65	18	265
66	18	264
67	19	263
68	19	262
69	19	261
70	19	261
71	20	261
72	20	260
73	20	259
74	21	260
75	21	259
76	21	259
77	21	258
78	22	258
79	22	257
80	22	256
81	22	256
82	22	253
83	23	253
84	23	252
85	23	252
86	24	252
87	24	251
88	24	251
89	24	250
90	25	250
91	25	249
92	25	249
93	25	248
94	26	248
95	26	247
96	26	247
97	26	246
98	27	246
99	27	245
100	27	245
101	27	244
102	28	244
103	28	244
104	28	244
105	28	243
106	29	243
107	29	243
108	29	242
109	29	242
110	30	242
111	30	241
112	30	241
113	31	241
114	31	241
115	31	240
116	31	240
117	32	239
118	32	239
119	32	239
120	32	238
121	33	237
122	33	237
123	33	237
124	33	236
125	34	236
126	34	235
127	34	235
128	34	235
129	35	235
130	35	234
131	35	234
132	35	233
133	36	233
134	36	233
135	36	233
136	36	232
137	37	232
138	37	232
139	37	232
140	38	232
141	38	230
142	38	230
143	38	230
144	38	229
145	39	229
146	39	229
147	39	228
148	40	228
149	40	228
150	40	227
151	40	227
152	41	227
153	41	226
154	41	226
155	41	225
156	42	225
157	42	225
158	42	224
159	42	224
160	42	223
161	43	223
162	43	223
163	43	222
164	43	222
165	44	222
166	44	221
167	44	221
168	45	221
169	45	221
170	45	220
171	45	220
172	46	220
173	46	220
174	46	219
175	46	219
176	47	219
177	47	218
178	47	218
179	47	218
180	48	217
181	48	217
182	48	217
183	48	216
184	49	216
185	49	216
186	49	215
187	49	215
188	50	215
189	50	214
190	50	214
191	50	214
192	51	214
193	51	213
194	51	213
195	52	213
196	52	213
197	52	212
198	52	212
199	53	212
200	53	212
201	54	213
202	54	213
203	54	213
204	54	212
205	55	212
206	55	212
207	55	212
208	56	212
209	56	212
210	56	211
211	56	211
212	57	211
213	57	211
214	57	210
215	58	210
216	58	210
217	58	209
218	58	209
219	59	209
220	59	209
221	59	208
222	59	208
223	60	208
224	60	208
225	60	207
226	60	207
227	61	207
228	61	206
229	61	206
230	61	206
231	62	205
232	62	205
233	62	205
234	63	205
235	63	204
236	63	204
237	63	204
238	64	203
239	64	203
240	64	203
241	64	203
242	65	202
243	65	202
244	65	202
245	65	201
246	66	201
247	66	201
248	66	201
249	66	200
250	67	200
251	67	200
252	67	200
253	68	200
254	68	199
255	68	199
256	68	199
257	69	199
258	69	199
259	69	199
260	70	199
261	70	199
262	71	199
263	71	198
264	71	199
265	72	198
266	72	198
267	72	198
268	72	197
269	73	197
270	73	197
271	73	197
272	73	196
273	74	196
274	74	196
275	74	196
276	74	195
277	75	195
278	75	195
279	75	194
280	76	194
281	76	194
282	76	194
283	76	193
284	77	193
285	77	193
286	77	193
287	77	192
288	78	192
289	78	192
290	78	191
291	79	191
292	79	191
293	79	191
294	79	190
295	80	190
296	80	190
297	80	190
298	80	189
299	81	189
300	81	189
301	81	188
302	81	188
303	82	188
304	82	187
305	82	187
306	83	187
307	83	187
308	83	186
309	83	186
310	84	186
311	84	186
312	84	185
313	84	185
314	85	185
315	85	185
316	85	184
317	86	184
318	86	184
319	86	183
320	86	183
321	87	183
322	87	183
323	87	182
324	87	182
325	88	182
326	88	181
327	88	181
328	88	181
329	89	180
330	89	180
331	89	180
332	89	180
333	90	179
334	90	179
335	90	179
336	91	179
337	91	178
338	91	178
339	91	178
340	92	178
341	92	177
342	92	177
343	92	177
344	93	176
345	93	176
346	93	176
347	93	176
348	94	175
349	94	175
350	94	175
351	94	174
352	95	174
353	95	174
354	95	174
355	96	174
356	96	173
357	96	173
358	97	173
359	97	173
360	97	173
361	98	173
362	98	172
363	98	172
364	98	172
365	99	171
366	99	171
367	99	171
368	100	171
369	100	170
370	100	170
371	100	170
372	101	170
373	101	169
374	101	169
375	102	169
376	102	169
377	102	168
378	102	168
379	103	168
380	103	167
381	103	167
382	103	167
383	104	166
384	104	166
385	104	166
386	104	166
387	105	165
388	105	165
389	105	165
390	105	164
391	106	164
392	106	164
393	106	164
394	106	163
395	107	163
396	107	163
397	107	162
398	107	162
399	108	162
400	108	162
401	108	161
402	108	161
403	109	161
404	109	160
405	109	160
406	110	160
407	110	159
408	110	159
409	110	159
410	111	159
411	111	158
412	111	158
413	111	158
414	112	157
415	112	157
416	112	157
417	112	157
418	113	156
419	113	156
420	113	156
421	113	155
422	114	155
423	114	155
424	114	155
425	114	154
426	115	154
427	115	154
428	115	153
429	115	153
430	116	153
431	116	153
432	116	152
433	116	152
434	117	152
435	117	151
436	117	151
437	117	151
438	118	151
439	118	150
440	118	150
441	118	150
442	119	149
443	119	149
444	119	149
445	120	149
446	120	148
447	120	148
448	120	148
449	121	148
450	121	147
451	121	147
452	121	147
453	122	146
454	122	146
455	122	146
456	122	146
457	123	145
458	123	145
459	123	145
460	124	145
461	124	144
462	124	144
463	124	144
464	125	143
465	125	143
466	125	143
467	125	143
468	126	142
469	126	142
470	126	142
471	126	141
472	127	141
473	127	141
474	127	141
475	127	140
476	128	140
477	128	140
478	128	139
479	128	139
480	129	139
481	129	139
482	129	138
483	129	138
484	130	138
485	130	137
486	130	137
487	130	137
488	131	137
489	131	136
490	131	136
491	132	136
492	132	136
493	132	135
494	132	135
495	133	135
496	133	134
497	133	134
498	133	134
499	134	134
500	134	133
501	134	133
502	134	133
503	135	132
504	135	132
505	135	132
506	135	132
507	136	131
508	136	131
509	136	131
510	136	130
511	137	130
512	137	130
513	137	130
514	137	129
515	138	129
516	138	129
517	138	129
518	138	128
519	139	128
520	139	128
521	139	127
522	139	127
523	140	127
524	140	127
525	140	126
526	140	126
527	141	126
528	141	125
529	141	125
530	141	125
531	142	125
532	142	124
533	142	124
534	142	124
535	143	123
536	143	123
537	143	123
538	144	123
539	144	122
540	144	122
541	144	122
542	145	122
543	145	121
544	145	121
545	145	121
546	146	121
547	146	120
548	146	120
549	146	120
550	147	119
551	147	119
552	147	119
553	148	119
554	148	118
555	148	118
556	148	118
557	149	118
558	149	117
559	149	117
560	149	117
561	150	116
562	150	116
563	150	116
564	150	116
565	151	115
566	151	115
567	151	115
568	151	115
569	152	114
570	152	114
571	152	114
572	152	113
573	153	113
574	153	113
575	153	113
576	153	112
577	154	112
578	154	112
579	154	112
580	154	111
581	155	111
582	155	111
583	155	110
584	156	110
585	156	110
586	156	110
587	156	109
588	157	109
589	157	109
590	157	109
591	157	108
592	158	108
593	158	108
594	158	107
595	158	107
596	159	107
597	159	107
598	159	106
599	159	106
600	160	106
601	160	106
602	160	105
603	160	105
604	161	105
605	161	104
606	161	104
607	161	104
608	162	104
609	162	103
610	162	103
611	162	103
612	163	103
613	163	102
614	163	102
615	163	102
616	164	101
617	164	101
618	164	101
619	165	101
620	165	100
621	165	100
622	165	100
623	166	100
624	166	99
625	166	99
626	166	99
627	167	98
628	167	98
629	167	98
630	167	98
631	168	97
632	168	97
633	168	97
634	168	97
635	169	96
636	169	96
637	169	96
638	170	96
639	170	95
640	170	95
641	170	95
642	171	94
643	171	94
644	171	94
645	171	94
646	172	93
647	172	93
648	172	93
649	172	93
650	173	92
651	173	92
652	173	92
653	174	92
654	174	91
655	174	91
656	174	91
657	175	90
658	175	90
659	175	90
660	175	90
661	176	89
662	176	89
663	176	89
664	176	89
665	177	88
666	177	88
667	177	88
668	177	88
669	178	87
670	178	87
671	178	87
672	178	86
673	179	86
674	179	86
675	179	86
676	180	85
677	180	85
678	180	85
679	180	85
680	181	84
681	181	84
682	181	84
683	181	84
684	182	83
685	182	83
686	182	83
687	182	82
688	183	82
689	183	82
690	183	82
